name,name_en,type,type_en,address,sum_district_name,sum_district_type ,bag_khoroo_name,bag_khoroo_type,3_word_address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time,
Оргил худалдааны төв АТМ,Orgil shopping center АТМ,atm,атм,"Баян-Өлгий аймаг, Өлгий сум, 5-р баг, Оргил худалдааны төв ","Баян-Өлгий аймаг, Өлгий",сум,"Баян-Өлгий аймаг, Өлгий сум, 5-р",баг,,"Bayan-Ulgii province, Ulgii, Orgil shopping center ",Даваа-Ням 09:00-21:00 цаг,Mon-Sun 9am-9pm,1800-1888,1,1,1,1,1,1,1,09:00:00,21:00:00,
"Сансар супермаркет, Экспресс АТМ","Sodon, Express ATM  ",atm,атм,"6-р хороо, Үйлдвэрчний эвлэлийн гудамж, Содон хороолол, Сансар сүлжээ супермаркет",0,0,6-р,хороо,,"6th khoroo, Sodon khoroolol, Sansar supermarket",Даваа-Ням 08:00-22:00 цаг,Mon-Sun 8am-10pm,1800-1888,1,1,1,1,1,1,1,08:00:00,22:00:00,
Содон Сансар супермаркет АТМ,Sodon Sansar supermarket ATM,atm,атм,"6-р хороо, Үйлдвэрчний эвлэлийн гудамж, Содон хороолол, Сансар сүлжээ супермаркет",0,0,6-р,хороо,,"6th khoroo, Sodon khoroolol, Sansar supermarket",Даваа-Ням 08:30-22:00 цаг,Mon-Sun 8:30am-10pm,1800-1888,1,1,1,1,1,1,1,08:30:00,22:00:00,
"Имарт Чингис, Экспресс АТМ-2","E-mart Chinggis, Express ATM-2",atm,атм,"1-р хороо, 12-р хороолол, Токиогийн гудамж-23, Имарт Чингис 1-р давхарт",0,0,1-р,хороо,,"1st Khoroo, 12th Microdistrict, Tokyo Street, E-mart Chinggis 2nd floor",Даваа-Ням 09:00-22:00 цаг,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,09:00:00,22:00:00,
"Сүү ХХК, М Март Экспресс АТМ",MAX MARKET Express ATM,atm,атм,"19-р хороо, Сүү ХК-ын байр, Макс Маркет",0,0,19-р,хороо,,"19th khoroo, Suu Co, Ltd-Max market",Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,08:00:00,23:00:00,
"Өмнөговь салбар, Экспресс АТМ","UMNUGOVI BRANCH, Express ATM",atm,салбар,"Өмнөговь аймаг, Даланзадгад сум, Самбуугийн гудамж, Хас банк Өмнөговь салбар ","Өмнөговь аймаг, Даланзадгад",сум,,,,"Umnugovi province, Dalanzadgad, Sambuu street, Xac bank Umnugovi branch",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
"Өмнөговь Ханбогд салбар, Экспресс АТМ","Umnugovi Khanbogd branch, Express АТМ",atm,салбар,Өмнөговь Ханбогд салбар,0,0,,,,UMNUGOVI PROVINCE  KHANBOGD BRANCH,Даваа-Ням 09:00-22:00 цаг,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,09:00:00,22:00:00,
"Дорнод салбар, Экспресс АТМ","DORNOD BRANCH, Express АТМ",atm,салбар,"Дорнод аймаг, Хэрлэн сум, 6-р баг, Читын гудамж, Хасбанкны байрны үүдэнд","Дорнод аймаг, Хэрлэн",сум,"Дорнод аймаг, Хэрлэн сум, 6-р",баг,,"Dornod province, Kherlen, Chit street, Xacbank ",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
"Чойр Балданзасаг маркет, Экспресс АТМ","CHOIR BALDANZASAG MARKET, Express АТМ",atm,атм,Говьсүмбэр аймаг Сүмбэр сум 1 баг Балданзасаг худалдааны төв,Говьсүмбэр аймаг Сүмбэр,сум,Говьсүмбэр аймаг Сүмбэр сум 1,баг,,"Govisumber province, Sumber, Baldanzasag shopping center ",Даваа-Ням 08:00-23:00 цаг,Mon-Sun 8am-11pm,1800-1888,1,1,1,1,1,1,1,08:00:00,23:00:00,
Говь-Алтай салбар АТМ,Govi-Altai branch ATM,atm,салбар,"Говь-Алтай аймаг, Есөнбулаг сум, Төв гудамж, Хас банк Говь-Алтай салбар ","Говь-Алтай аймаг, Есөнбулаг",сум,,,,"Govi-Altai province, Esunbulag, Main street, Xac bank Govi-Altai branch ",24 цаг,24 цаг,,1,1,1,1,1,1,1,01:00:00,23:59:00,
